ticket_id,created_date,department,issue,issue_category,priority,status,channel,customer_type,resolution_time
1,2026-01-07 23:17:00,,Customer requesting refund for duplicate charge,Refund Request,Low,Resolved,Chatbot,Internal Employee,16.29
2,2026-05-20 13:14:00,Finance,Vendor invoice approval is delayed please help asap,Invoice Approval,High,Resolved,Slack,Internal Employee,45.85
3,2026-03-30 19:16:00,HR,BACKGROUND VERIFICATION DELAY BLOCKING START DATE,Onboarding Delay,Medium,Open,Email,External Customer,
4,2026-01-21 07:55:00,Operations,ITEM QUANTITY INCORRECT IN INVENTORY PLATFORM,Inventory Mismatch,Medium,Resolved,Portal,External Customer,10.83
5,2026-04-08 08:59:00,IT,Password expired and reset link is not working,Password / Login,Medium,Resolved,Portal,Partner,3.56
6,2026-05-08 12:56:00,IT,REMOTE ACCESS KEEPS DISCONNECTING,VPN / Access,High,Resolved,Portal,Vendor,11.23
7,2026-01-13 03:09:00,IT,I forgot my password and cannot log in,Password / Login,Low,Open,Email,Partner,
8,2026-03-29 03:18:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,Medium,Resolved,Portal,Internal Employee,20.17
9,2026-05-06 00:07:00,Finance,Payment request pending manager approval!!!,Invoice Approval,Medium,In Progress,Chatbot,External Customer,75.6
10,2026-05-02 17:10:00,IT,Need password reset for my company account,Password / Login,Medium,In Progress,Chatbot,Vendor,
11,2026-02-27 02:21:00,IT,Login not working for employee portal please help asap,Password / Login,Medium,Resolved,Portal,Partner,1.08
12,2026-02-24 17:08:00,Customer Support,Refund request pending for customer order!!!,Refund Request,Medium,In Progress,Email,Internal Employee,
13,2026-03-28 03:15:00,IT,Need password reset for my company account,Password / Login,Low,Resolved,Chatbot,Internal Employee,1.77
14,2026-03-02 05:26:00,Sales,Sales report missing latest pipeline data please help asap,Salesforce / CRM,Medium,Resolved,Chatbot,Vendor,13.71
15,2026-03-17 06:03:00,IT,Password expired and reset link is not working please help asap,Password / Login,Low,Resolved,Email,External Customer,3.32
16,2026-01-18 21:55:00,IT,Login not working for employee portal,Password / Login,Medium,Resolved,Portal,Partner,1.94
17,2026-04-12 04:42:00,IT,VPN ACCESS IS NOT WORKING FROM HOME!!!,VPN / Access,High,Resolved,Phone,Internal Employee,8.81
18,2026-04-05 09:10:00,Compliance,Risk review pending for new supplier!!!,Compliance Review,Critical,Resolved,Email,External Customer,66.07
19,2026-01-28 23:35:00,IT,Unable to connect to secure network,VPN / Access,Medium,Resolved,Slack,Partner,4.4
